Data from green_S050431__0__12-01-47-398.txt Node

Date: Wed Dec 17 12:01:47 CET 2025
User: r1113668
Spectrometer: S05043
Trigger mode: 0
Resolution mode: 1024 pixels
Integration Time (sec): 1,000000E-1
Scans to average: 10
Nonlinearity correction enabled: false
Boxcar width: 0
Baseline correction enabled: false
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 1024
>>>>>Begin Spectral Data<<<<<
337,862	1502,7
338,317	1502,4
338,772	1500
339,228	1497,2
339,683	1502,4
340,139	1502,6
340,594	1498,7
341,05	1501,7
341,506	1504,2
341,961	1501,6
342,417	1498,9
342,873	1500,1
343,329	1503,3
343,785	1501,2
344,241	1501,5
344,696	1497,8
345,152	1498,8
345,609	1502,6
346,065	1498,1
346,521	1498,7
346,977	1498,5
347,433	1496,4
347,889	1501,6
348,346	1501,4
348,802	1501,6
349,259	1504,1
349,715	1499,4
350,171	1500,7
350,628	1501,6
351,085	1497,2
351,541	1499,6
351,998	1501,4
352,455	1500,1
352,911	1501,5
353,368	1499,6
353,825	1501,5
354,282	1500,9
354,739	1501,3
355,196	1497,8
355,653	1501,4
356,11	1501,4
356,567	1500,6
357,024	1500,6
357,481	1499,6
357,938	1499,9
358,396	1501,1
358,853	1501,5
359,31	1500,8
359,768	1501,6
360,225	1502,1
360,683	1497,9
361,14	1500,7
361,598	1499,4
362,055	1500,7
362,513	1502,8
362,971	1498,4
363,428	1496,4
363,886	1499,7
364,344	1499
364,802	1501,7
365,26	1498,5
365,718	1502,2
366,176	1501,7
366,634	1502,2
367,092	1502,7
367,55	1501,5
368,008	1502,3
368,466	1502,6
368,925	1500,9
369,383	1500,3
369,841	1501,7
370,3	1502
370,758	1500,4
371,216	1499,6
371,675	1501,7
372,133	1499,7
372,592	1502,4
373,051	1497,7
373,509	1502,3
373,968	1501,9
374,427	1497,1
374,886	1499,8
375,344	1503,6
375,803	1500,3
376,262	1502,9
376,721	1502,9
377,18	1499,5
377,639	1503,8
378,098	1499,8
378,558	1501,1
379,017	1502,9
379,476	1500,6
